epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.016135334968567,0.707198441028595,0.5775597095489502,0.8486707806587219
1,0.5434483289718628,0.8521400690078735,0.42626264691352844,0.8793455958366394
2,0.4376402199268341,0.8711089491844177,0.3309587836265564,0.93047034740448
3,0.37459924817085266,0.893482506275177,0.3209855854511261,0.906952977180481
4,0.33464619517326355,0.9022373557090759,0.2713046073913574,0.941717803478241
5,0.30469948053359985,0.9090467095375061,0.2394542694091797,0.942740261554718
6,0.27694791555404663,0.9182879328727722,0.23356570303440094,0.9314928650856018
7,0.2601828873157501,0.923638105392456,0.22832198441028595,0.9478527903556824
8,0.2405584454536438,0.9294747114181519,0.20283006131649017,0.9437627792358398
9,0.22635093331336975,0.9343385100364685,0.2027696818113327,0.9468302726745605
10,0.20781682431697845,0.9396887421607971,0.22750501334667206,0.9376277923583984
11,0.1947019398212433,0.9421206116676331,0.1958702951669693,0.9478527903556824
12,0.18609365820884705,0.945038914680481,0.24134261906147003,0.9406952857971191
13,0.1827234923839569,0.9406614899635315,0.19272609055042267,0.9560326933860779
14,0.17509415745735168,0.9455252885818481,0.21002145111560822,0.9447852969169617
15,0.1737416386604309,0.9494163393974304,0.20890730619430542,0.9468302726745605
16,0.16617292165756226,0.9469844102859497,0.21058009564876556,0.9406952857971191
17,0.15258333086967468,0.9542801380157471,0.20778003334999084,0.942740261554718
18,0.15129417181015015,0.9562256932258606,0.18704544007778168,0.9498977661132812
19,0.14608873426914215,0.9537937641143799,0.21788346767425537,0.9478527903556824
20,0.1354863941669464,0.9606031179428101,0.22902053594589233,0.9406952857971191
21,0.13696640729904175,0.957198441028595,0.20934228599071503,0.9591001868247986
22,0.1352265626192093,0.9552529454231262,0.20689396560192108,0.9570552110671997
23,0.1311691701412201,0.9615758657455444,0.19409894943237305,0.9498977661132812
24,0.12810100615024567,0.9591439962387085,0.1956256479024887,0.9621676802635193
25,0.12519529461860657,0.9625486135482788,0.21664829552173615,0.9601227045059204
26,0.12010908126831055,0.9630350470542908,0.23369379341602325,0.9498977661132812
27,0.11318589746952057,0.9678988456726074,0.2975021302700043,0.9406952857971191
28,0.12174166738986969,0.9610894918441772,0.22028562426567078,0.9498977661132812
29,0.11024642735719681,0.9683852195739746,0.21438784897327423,0.9570552110671997
30,0.1091819629073143,0.9649805426597595,0.21632428467273712,0.9601227045059204
31,0.10264913737773895,0.9698443412780762,0.21827836334705353,0.9550102353096008
32,0.11320383101701736,0.966926097869873,0.25066912174224854,0.9498977661132812
33,0.1099800243973732,0.966926097869873,0.25322672724723816,0.9468302726745605
34,0.10155156999826431,0.9737353920936584,0.2493949830532074,0.9550102353096008
35,0.09885356575250626,0.9664396643638611,0.25033193826675415,0.9611452221870422
36,0.09497221559286118,0.9713035225868225,0.26021167635917664,0.9376277923583984
37,0.09626363962888718,0.969357967376709,0.24143515527248383,0.953987717628479
38,0.09657583385705948,0.9717898964881897,0.24283742904663086,0.9498977661132812
39,0.08834368735551834,0.9732490181922913,0.2617565989494324,0.9366053342819214
40,0.09697622060775757,0.969357967376709,0.265683114528656,0.952965259552002
41,0.1014261245727539,0.9688715934753418,0.2477177381515503,0.9601227045059204
42,0.08841457217931747,0.9737353920936584,0.262089341878891,0.9488752484321594
43,0.08609534800052643,0.975680947303772,0.27574318647384644,0.9519427418708801
44,0.08482543379068375,0.975680947303772,0.23640143871307373,0.9560326933860779
45,0.09804871678352356,0.9747081995010376,0.2518787086009979,0.9591001868247986
46,0.07589589804410934,0.9790856242179871,0.27778711915016174,0.9468302726745605
47,0.07849687337875366,0.9766536951065063,0.25802144408226013,0.9601227045059204
48,0.07719254493713379,0.9795719981193542,0.27678772807121277,0.9498977661132812
49,0.0690695270895958,0.981517493724823,0.30784082412719727,0.9386503100395203
